,Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
0,2018-02-10 00:00:00,1.0,0.9,0.9,0.9,2.2,2.1,2.1,2.2,8.0,6.6,6.4,8.2
1,2018-02-10 00:15:00,0.9,1.0,0.9,0.9,2.2,2.3,2.2,2.2,10.7,9.5,8.4,8.0
2,2018-02-10 00:30:00,1.0,0.9,0.9,0.9,2.2,2.1,2.1,2.2,9.0,7.6,7.9,7.8
3,2018-02-10 00:45:00,1.0,1.0,1.0,0.9,2.2,2.2,2.2,2.2,7.4,7.3,7.1,7.5
4,2018-02-10 01:00:00,1.1,1.0,1.0,0.9,2.4,2.2,2.2,2.2,9.4,7.9,7.5,7.7
5,2018-02-10 01:15:00,1.1,1.0,1.0,1.0,2.3,2.2,2.2,2.2,5.3,6.3,6.3,7.2
6,2018-02-10 01:30:00,1.0,0.9,0.9,1.0,1.9,1.9,2.0,2.1,5.5,5.2,5.6,6.6
7,2018-02-10 01:45:00,0.9,0.9,0.9,1.0,2.1,2.1,2.0,2.1,5.2,5.9,5.6,6.2
8,2018-02-10 02:00:00,0.8,0.8,0.8,0.9,2.0,1.9,1.9,2.0,7.5,6.4,6.8,6.1
9,2018-02-10 02:15:00,0.9,0.8,0.8,0.9,2.0,1.9,2.0,2.0,7.3,8.0,8.0,6.5
10,2018-02-10 02:30:00,0.7,0.8,0.7,0.8,1.8,1.9,1.9,1.9,9.2,7.9,7.5,7.0
11,2018-02-10 02:45:00,1.2,1.5,1.4,0.9,2.8,3.5,3.5,2.3,10.6,11.8,11.4,8.4
12,2018-02-10 03:00:00,0.8,0.8,0.8,0.9,1.9,1.9,2.1,2.4,7.0,7.3,7.3,8.5
13,2018-02-10 03:15:00,0.7,0.7,0.7,0.9,1.7,1.9,2.0,2.4,8.4,7.7,7.1,8.3
14,2018-02-10 03:30:00,0.7,0.7,0.7,0.9,1.8,1.8,1.8,2.3,6.9,6.9,7.4,8.3
15,2018-02-10 03:45:00,0.7,0.6,0.7,0.7,1.6,1.6,1.7,1.9,7.1,5.9,6.0,6.9
16,2018-02-10 04:00:00,0.6,0.5,0.6,0.7,1.4,1.3,1.4,1.7,5.3,4.7,5.0,6.4
17,2018-02-10 04:15:00,0.6,0.6,0.6,0.6,1.4,1.4,1.4,1.6,3.3,5.3,4.6,5.8
18,2018-02-10 04:30:00,0.6,0.5,0.6,0.6,1.4,1.4,1.4,1.5,3.8,3.5,4.3,5.0
19,2018-02-10 04:45:00,0.6,0.5,0.6,0.6,1.5,1.3,1.4,1.4,3.5,3.8,4.2,4.5
20,2018-02-10 05:00:00,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.4,4.6,4.1,4.5,4.4
21,2018-02-10 05:15:00,0.6,0.6,0.5,0.5,1.5,1.5,1.4,1.4,5.1,5.9,4.9,4.5
22,2018-02-10 05:30:00,0.8,0.8,0.8,0.6,2.4,2.4,2.2,1.5,9.1,10.0,9.6,5.8
23,2018-02-10 05:45:00,0.7,0.7,0.7,0.6,1.7,1.8,2.0,1.7,5.6,6.8,8.9,7.0
24,2018-02-10 06:00:00,0.6,0.6,0.6,0.7,1.3,1.4,1.3,1.7,4.0,4.0,4.7,7.0
25,2018-02-10 06:15:00,0.8,0.8,0.9,0.7,1.5,1.5,1.6,1.8,2.4,3.6,3.8,6.8
26,2018-02-10 06:30:00,0.6,0.6,0.7,0.7,1.3,1.3,1.3,1.6,1.9,3.4,3.4,5.2
27,2018-02-10 06:45:00,0.6,0.7,0.6,0.7,1.4,1.4,1.3,1.4,2.9,3.3,3.1,3.8
28,2018-02-10 07:00:00,0.8,1.1,1.3,0.9,2.2,2.6,3.1,1.8,14.2,9.4,11.2,5.4
29,2018-02-10 07:15:00,0.9,1.2,1.2,0.9,2.8,3.8,3.8,2.4,13.3,16.3,16.9,8.7
30,2018-02-10 07:30:00,0.7,0.6,0.6,0.9,1.6,1.6,1.6,2.4,6.6,5.3,5.9,9.3
31,2018-02-10 07:45:00,1.0,0.7,0.7,0.9,3.6,2.0,1.8,2.6,27.6,10.4,6.8,10.2
32,2018-02-10 08:00:00,0.9,1.5,1.3,0.9,2.7,5.4,4.7,2.9,19.7,41.1,38.2,17.0
33,2018-02-10 08:15:00,1.2,1.1,1.3,1.0,4.0,4.3,4.9,3.2,26.7,32.0,38.8,22.4
34,2018-02-10 08:30:00,1.3,1.3,1.3,1.1,4.5,4.8,4.9,4.0,26.5,32.5,35.2,29.8
35,2018-02-10 08:45:00,1.0,0.9,1.1,1.2,2.8,2.8,3.9,4.6,12.3,12.2,21.4,33.4
36,2018-02-10 09:00:00,1.1,1.1,1.0,1.2,3.3,3.2,3.3,4.2,23.0,17.2,18.5,28.5
37,2018-02-10 09:15:00,2.6,1.5,1.2,1.2,10.4,5.3,3.9,4.0,84.6,36.4,25.8,25.2
38,2018-02-10 09:30:00,1.5,1.3,1.4,1.2,5.8,5.2,5.1,4.0,39.1,39.6,36.7,25.6
