Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-07 00:00:00",0.500,0.500,0.500,0.600,1.000,1.100,1.100,1.200,2.500,2.900,3.500,3.000,
"2018-02-07 00:15:00",0.500,0.400,0.500,0.500,1.000,1.100,1.100,1.200,2.600,3.300,3.700,3.100,
"2018-02-07 00:30:00",0.400,0.400,0.400,0.500,0.900,0.900,0.900,1.100,2.500,3.000,2.700,3.100,
"2018-02-07 00:45:00",0.500,0.400,0.400,0.400,1.100,0.900,0.900,1.000,4.900,3.200,3.100,3.200,
"2018-02-07 01:00:00",0.400,0.400,0.400,0.400,0.800,0.800,0.900,1.000,1.800,2.500,2.500,3.000,
"2018-02-07 01:15:00",0.400,0.400,0.400,0.400,0.900,0.900,0.900,0.900,2.400,3.200,2.900,2.800,
"2018-02-07 01:30:00",0.400,0.400,0.400,0.400,0.900,0.900,0.900,0.900,2.900,2.700,2.900,2.900,
"2018-02-07 01:45:00",0.400,0.400,0.400,0.400,0.900,0.900,0.900,0.900,2.700,2.500,2.900,2.800,
"2018-02-07 02:00:00",0.400,0.400,0.400,0.400,1.000,1.000,1.000,0.900,3.000,3.500,3.300,3.000,
"2018-02-07 02:15:00",0.500,0.400,0.400,0.400,0.900,0.900,0.900,0.900,3.100,3.500,3.600,3.100,
"2018-02-07 02:30:00",0.500,0.400,0.400,0.400,1.100,1.000,1.000,0.900,4.300,3.400,3.400,3.300,
"2018-02-07 02:45:00",0.400,0.400,0.400,0.400,1.100,1.100,1.100,1.000,6.100,5.100,4.600,3.700,
"2018-02-07 03:00:00",0.500,0.400,0.400,0.400,1.200,1.100,1.100,1.000,7.400,4.900,3.900,3.900,
"2018-02-07 03:15:00",0.500,0.500,0.500,0.400,1.200,1.100,1.100,1.000,6.500,5.200,4.300,4.000,
"2018-02-07 03:30:00",0.500,0.500,0.500,0.400,1.200,1.200,1.100,1.100,4.200,6.900,7.300,5.000,
"2018-02-07 03:45:00",0.600,0.600,0.500,0.500,1.600,1.500,1.400,1.200,9.100,10.700,11.100,6.700,
"2018-02-07 04:00:00",0.700,0.600,0.600,0.500,1.700,1.500,1.500,1.300,12.100,9.800,10.000,8.200,
"2018-02-07 04:15:00",1.000,0.900,0.700,0.600,2.700,2.400,1.900,1.500,8.500,9.500,8.600,9.300,
"2018-02-07 04:30:00",0.700,0.800,0.900,0.700,1.800,2.000,2.400,1.800,8.400,9.800,10.700,10.100,
"2018-02-07 04:45:00",0.700,0.700,0.700,0.700,1.700,1.700,1.600,1.900,6.600,6.500,7.200,9.100,
"2018-02-07 05:00:00",0.500,0.500,0.600,0.700,1.200,1.400,1.500,1.900,7.600,6.700,6.800,8.300,
"2018-02-07 05:15:00",0.900,0.800,0.700,0.700,2.300,2.000,1.800,1.900,11.800,11.100,10.400,8.800,
"2018-02-07 05:30:00",0.900,0.900,0.900,0.700,2.000,2.200,2.400,1.800,13.500,11.400,12.900,9.300,
"2018-02-07 05:45:00",0.400,0.400,0.600,0.700,1.000,1.100,1.500,1.800,4.200,6.100,7.300,9.400,
"2018-02-07 06:00:00",0.400,0.400,0.400,0.700,1.000,1.000,1.000,1.700,5.100,4.900,4.800,8.900,
"2018-02-07 06:15:00",0.400,0.400,0.400,0.600,1.000,1.000,1.000,1.500,6.400,5.800,5.500,7.600,
"2018-02-07 06:30:00",0.500,0.400,0.400,0.500,1.300,1.200,1.100,1.100,6.700,6.800,6.300,6.000,
"2018-02-07 06:45:00",0.600,0.500,0.500,0.400,1.300,1.400,1.300,1.100,9.500,11.700,9.900,6.600,
"2018-02-07 07:00:00",0.500,0.600,0.600,0.500,1.300,1.500,1.400,1.200,15.200,14.600,14.800,9.100,
"2018-02-07 07:15:00",0.600,0.600,0.600,0.500,1.400,1.500,1.500,1.300,10.200,10.700,13.100,11.000,
"2018-02-07 07:30:00",0.500,0.500,0.500,0.500,1.300,1.300,1.400,1.400,8.900,11.600,12.100,12.500,
"2018-02-07 07:45:00",0.600,0.500,0.500,0.500,1.300,1.200,1.200,1.400,4.600,6.800,8.300,12.100,
"2018-02-07 08:00:00",0.900,0.900,1.100,0.700,1.900,3.100,4.200,2.100,6.400,29.300,54.700,22.000,
"2018-02-07 08:15:00",0.800,1.500,1.200,0.800,3.300,5.400,4.600,2.800,87.300,144.900,108.800,46.000,
"2018-02-07 08:30:00",1.200,1.000,0.800,0.900,4.500,3.500,2.600,3.200,70.200,88.700,62.200,58.500,
"2018-02-07 08:45:00",1.300,2.100,10.800,3.500,4.900,6.400,19.200,7.700,52.100,62.900,117.500,85.800,
