,Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
0,2018-02-16 00:00:00,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.5,0.8,1.0
1,2018-02-16 00:15:00,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.7
2,2018-02-16 00:30:00,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.8,0.4,0.5
3,2018-02-16 00:45:00,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4
4,2018-02-16 01:00:00,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.7,0.6,0.4
5,2018-02-16 01:15:00,0.2,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.9,1.2,0.5,0.5
6,2018-02-16 01:30:00,0.2,0.2,0.1,0.1,0.6,0.6,0.4,0.2,98.4,93.4,42.1,10.9
7,2018-02-16 01:45:00,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,19.3,7.4,10.8,13.5
8,2018-02-16 02:00:00,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.3,33.8,26.2,80.4,33.5
9,2018-02-16 02:15:00,0.2,0.2,0.2,0.1,1.2,2.5,1.8,0.7,335.8,816.6,549.8,170.8
10,2018-02-16 02:30:00,0.2,0.2,0.2,0.1,0.9,0.8,0.7,0.8,247.8,171.6,163.6,201.2
11,2018-02-16 02:45:00,0.3,0.2,0.2,0.2,1.2,0.9,0.7,0.9,290.2,173.9,135.7,232.4
12,2018-02-16 03:00:00,0.4,0.3,0.3,0.2,0.9,0.9,1.2,1.1,205.0,193.4,306.1,288.8
13,2018-02-16 03:15:00,0.3,0.3,0.3,0.2,0.5,0.5,1.0,0.9,6.8,43.5,237.5,210.7
14,2018-02-16 03:30:00,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.8,0.6,0.4,1.5,170.2
15,2018-02-16 03:45:00,0.3,0.2,0.2,0.2,0.6,0.5,0.3,0.7,13.5,7.5,3.4,137.1
16,2018-02-16 04:00:00,0.5,0.5,0.4,0.3,0.8,0.8,0.7,0.6,43.9,57.5,50.4,73.2
17,2018-02-16 04:15:00,0.7,0.6,0.6,0.3,1.0,1.0,0.9,0.6,3.6,9.0,18.6,18.5
18,2018-02-16 04:30:00,0.5,0.5,0.5,0.4,0.9,0.8,0.9,0.7,1.7,1.9,2.6,18.8
19,2018-02-16 04:45:00,0.4,0.3,0.4,0.5,0.7,0.6,0.7,0.8,2.2,2.5,2.4,18.5
20,2018-02-16 05:00:00,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.8,3.1,1.7,2.0,6.4
21,2018-02-16 05:15:00,0.4,0.3,0.3,0.4,0.7,0.6,0.6,0.7,1.2,2.2,2.0,2.2
22,2018-02-16 05:30:00,0.4,0.3,0.3,0.3,0.7,0.6,0.6,0.6,1.9,1.9,2.4,2.2
23,2018-02-16 05:45:00,0.4,0.3,0.3,0.3,0.7,0.6,0.6,0.6,1.2,2.2,2.2,2.1
24,2018-02-16 06:00:00,0.4,0.3,0.3,0.3,0.8,0.7,0.7,0.6,3.5,2.6,2.0,2.1
25,2018-02-16 06:15:00,0.4,0.3,0.3,0.3,0.8,0.7,0.7,0.6,1.1,1.2,2.2,2.2
26,2018-02-16 06:30:00,0.4,0.3,0.3,0.3,0.8,0.6,0.7,0.7,1.0,1.1,1.7,2.0
27,2018-02-16 06:45:00,0.4,0.4,0.3,0.3,0.7,0.7,0.7,0.7,1.0,1.3,1.6,1.9
28,2018-02-16 07:00:00,0.4,0.4,0.4,0.3,0.7,0.7,0.7,0.7,1.0,1.5,1.1,1.6
29,2018-02-16 07:15:00,0.4,0.3,0.3,0.3,0.7,0.6,0.6,0.7,0.8,0.9,1.2,1.4
30,2018-02-16 07:30:00,0.4,0.3,0.4,0.3,0.6,0.6,0.6,0.7,2.3,2.0,1.5,1.3
31,2018-02-16 07:45:00,0.3,0.3,0.3,0.3,0.7,0.6,0.6,0.6,1.4,1.5,1.5,1.3
32,2018-02-16 08:00:00,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,1.9,1.2,0.9,1.3
33,2018-02-16 08:15:00,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.7,1.2,1.1,1.3
34,2018-02-16 08:30:00,0.3,0.3,0.3,0.3,0.6,0.5,0.5,0.6,1.7,1.1,1.6,1.3
35,2018-02-16 08:45:00,0.4,0.3,0.3,0.3,0.6,0.5,0.5,0.5,0.7,0.8,1.0,1.2
36,2018-02-16 09:00:00,0.7,0.9,2.2,0.8,1.2,1.3,2.8,1.1,2.6,2.9,3.9,1.9
37,2018-02-16 09:15:00,0.3,0.3,1.2,1.0,0.5,0.6,1.8,1.4,2.3,1.5,6.1,3.2
38,2018-02-16 09:30:00,0.4,1.0,0.6,1.1,0.7,1.9,1.1,1.5,0.8,14.6,6.3,4.3
39,2018-02-16 09:45:00,0.4,0.3,0.4,1.1,0.6,0.6,0.6,1.6,0.7,1.0,1.3,4.4
40,2018-02-16 10:00:00,0.4,0.5,0.5,0.7,0.8,0.8,0.8,1.1,3.3,2.4,2.8,4.2
41,2018-02-16 10:15:00,0.4,0.4,0.5,0.5,0.7,0.6,0.8,0.8,2.3,2.2,2.9,3.4
42,2018-02-16 10:30:00,0.3,0.2,0.3,0.4,0.5,0.4,0.5,0.7,2.2,2.2,1.3,2.1
43,2018-02-16 10:45:00,0.3,0.2,0.7,0.5,0.4,0.4,0.9,0.7,0.5,0.5,2.3,2.3
44,2018-02-16 11:00:00,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.6,1.7,1.0,1.6,2.0
45,2018-02-16 11:15:00,0.3,0.6,2.2,0.8,0.5,1.4,5.9,1.9,1.7,28.7,75.6,20.2
46,2018-02-16 11:30:00,0.4,0.3,0.4,0.9,0.8,0.6,0.9,2.0,11.3,4.8,13.2,23.2
47,2018-02-16 11:45:00,0.2,0.4,0.4,0.8,0.4,0.9,0.9,2.0,1.0,10.6,11.6,25.5
48,2018-02-16 12:00:00,0.3,0.4,0.3,0.8,0.4,0.5,0.5,2.0,0.7,0.7,1.1,25.4
49,2018-02-16 12:15:00,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.7,2.0,1.1,2.0,7.0
50,2018-02-16 12:30:00,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.5,8.3,3.0,2.9,4.4
51,2018-02-16 12:45:00,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,7.6,8.4,5.7,2.9
52,2018-02-16 13:00:00,0.3,0.2,0.3,0.3,0.6,0.4,0.5,0.5,8.6,12.1,10.5,5.2
53,2018-02-16 13:15:00,0.4,0.4,0.4,0.3,0.6,0.6,0.7,0.6,1.6,2.0,4.9,6.0
54,2018-02-16 13:30:00,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.6,0.7,1.1,1.0,5.5
55,2018-02-16 13:45:00,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.6,1.1,4.4
56,2018-02-16 14:00:00,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.5,0.6,1.1,0.9,2.0
57,2018-02-16 14:15:00,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,1.7,0.8,2.0,1.2
58,2018-02-16 14:30:00,0.4,0.3,0.3,0.3,0.6,0.4,0.4,0.4,0.7,1.3,1.3,1.3
59,2018-02-16 14:45:00,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,1.1
60,2018-02-16 15:00:00,0.3,0.2,0.2,0.2,0.5,0.4,0.4,0.4,1.2,0.7,0.8,1.1
61,2018-02-16 15:15:00,0.3,0.2,0.2,0.2,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.7
62,2018-02-16 15:30:00,0.2,0.1,0.2,0.2,0.3,0.2,0.4,0.4,0.3,0.5,0.7,0.6
63,2018-02-16 15:45:00,0.3,0.3,0.3,0.2,0.4,0.5,0.4,0.4,0.4,0.7,0.6,0.6
64,2018-02-16 16:00:00,0.2,0.2,0.3,0.2,0.3,0.4,0.7,0.5,0.4,0.7,3.8,1.4
65,2018-02-16 16:15:00,0.4,0.3,0.3,0.3,0.6,0.5,0.4,0.5,0.7,0.6,0.8,1.5
66,2018-02-16 16:30:00,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,1.4
67,2018-02-16 16:45:00,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.5,1.4
68,2018-02-16 17:00:00,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.5,0.6,0.6
69,2018-02-17 00:00:00,1.4,1.5,1.5,1.5,2.2,2.3,2.2,2.2,6.1,5.3,4.8,5.0
70,2018-02-17 00:15:00,1.4,1.5,1.5,1.5,2.3,2.3,2.3,2.2,5.9,4.7,4.3,4.7
71,2018-02-17 00:30:00,1.4,1.5,1.5,1.5,2.1,2.3,2.3,2.2,4.0,4.6,4.0,4.4
72,2018-02-17 00:45:00,1.3,1.3,1.3,1.4,2.0,2.0,2.1,2.2,3.4,3.7,4.3,4.4
73,2018-02-17 01:00:00,1.3,1.3,1.3,1.4,2.1,2.0,2.0,2.2,3.0,3.6,3.6,4.1
74,2018-02-17 01:15:00,1.3,1.3,1.3,1.3,2.1,2.0,2.0,2.1,3.2,3.0,3.3,3.8
75,2018-02-17 01:30:00,1.3,1.3,1.2,1.3,2.0,2.0,1.9,2.0,4.0,3.4,3.3,3.6
76,2018-02-17 01:45:00,1.2,1.1,1.2,1.2,1.9,1.8,1.8,1.9,3.5,3.2,3.3,3.4
77,2018-02-17 02:00:00,0.9,0.9,1.0,1.2,1.4,1.4,1.5,1.8,2.4,2.3,2.4,3.1
78,2018-02-17 02:15:00,1.0,0.9,0.9,1.1,1.5,1.5,1.5,1.7,2.4,2.4,2.4,2.8
79,2018-02-17 02:30:00,0.8,0.8,0.9,1.0,1.3,1.4,1.4,1.6,2.2,2.7,2.3,2.6
80,2018-02-17 02:45:00,0.8,0.8,0.8,0.9,1.3,1.3,1.3,1.4,1.7,2.0,2.1,2.3
81,2018-02-17 03:00:00,0.7,0.7,0.7,0.8,1.1,1.1,1.2,1.3,1.3,2.3,2.6,2.4
82,2018-02-17 03:15:00,0.7,0.6,0.7,0.8,1.0,1.0,1.1,1.2,2.7,1.8,1.9,2.2
83,2018-02-17 03:30:00,0.6,0.6,0.6,0.7,0.9,0.9,1.0,1.1,2.5,1.6,1.7,2.1
84,2018-02-17 03:45:00,0.6,0.6,0.6,0.7,1.0,1.0,1.0,1.1,1.8,1.8,1.6,1.9
85,2018-02-17 04:00:00,0.5,0.5,0.6,0.6,0.8,0.9,0.9,1.0,0.9,2.0,2.0,1.8
86,2018-02-17 04:15:00,0.5,0.5,0.5,0.6,0.8,0.8,0.8,0.9,2.8,1.8,1.6,1.7
87,2018-02-17 04:30:00,0.6,0.5,0.5,0.6,0.9,0.8,0.8,0.9,2.9,1.7,1.6,1.7
88,2018-02-17 04:45:00,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,1.1,1.4,1.6,1.7
89,2018-02-17 05:00:00,0.5,0.5,0.5,0.5,0.7,0.8,0.8,0.8,0.7,1.2,1.6,1.6
90,2018-02-17 05:15:00,0.5,0.4,0.5,0.5,0.8,0.7,0.7,0.8,2.7,2.0,1.8,1.6
91,2018-02-17 05:30:00,0.5,0.5,0.4,0.5,0.8,0.8,0.7,0.8,1.1,1.5,1.6,1.6
92,2018-02-17 05:45:00,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.4,1.7,1.6
93,2018-02-17 06:00:00,0.5,0.4,0.4,0.4,0.8,0.7,0.7,0.7,1.5,1.9,1.6,1.7
94,2018-02-17 06:15:00,0.5,0.4,0.5,0.4,0.8,0.7,0.7,0.7,1.4,1.3,1.5,1.6
95,2018-02-17 06:30:00,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.8,1.0,1.5
96,2018-02-17 06:45:00,0.5,0.4,0.4,0.4,0.7,0.7,0.6,0.7,0.8,1.2,1.1,1.3
97,2018-02-17 07:00:00,0.5,0.5,0.5,0.4,0.7,0.7,0.7,0.7,3.7,1.4,1.4,1.3
98,2018-02-17 07:15:00,0.5,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.7,1.5,1.1,1.2
99,2018-02-17 07:30:00,0.4,0.4,0.4,0.4,0.7,0.6,0.6,0.6,0.8,1.5,1.4,1.3
100,2018-02-17 07:45:00,0.8,0.6,0.5,0.4,1.2,0.9,0.8,0.7,2.3,1.9,1.7,1.4
101,2018-02-17 08:00:00,0.7,0.8,1.0,0.6,1.0,1.2,1.4,0.9,2.8,2.3,2.4,1.7
102,2018-02-17 08:15:00,2.2,3.4,3.3,1.3,3.5,5.3,4.9,1.9,5.0,6.2,5.8,2.8
103,2018-02-17 08:30:00,1.3,4.4,3.8,2.1,2.2,7.1,6.1,3.3,20.4,49.0,27.8,9.4
104,2018-02-17 08:45:00,0.7,0.6,0.7,2.2,1.0,1.0,1.0,3.4,1.3,1.6,2.1,9.5
105,2018-02-17 09:00:00,1.6,1.2,0.8,2.1,2.6,1.9,1.2,3.3,19.1,10.0,4.4,10.0
106,2018-02-17 09:15:00,0.5,0.7,0.8,1.5,0.8,1.1,1.3,2.4,1.1,4.3,6.2,10.0
107,2018-02-17 09:30:00,0.4,0.4,0.4,0.6,0.6,0.6,0.5,1.0,1.3,1.0,0.9,3.3
108,2018-02-17 09:45:00,0.5,0.5,0.4,0.6,0.8,0.7,0.7,0.9,1.5,1.1,1.0,3.0
109,2018-02-17 10:00:00,0.5,0.5,0.4,0.5,0.9,0.8,0.7,0.8,1.0,1.3,1.1,2.3
110,2018-02-17 10:15:00,1.0,0.7,0.9,0.5,2.0,1.2,1.4,0.8,26.7,7.4,3.8,1.7
111,2018-02-17 10:30:00,0.6,0.6,0.6,0.6,1.0,1.0,0.9,0.9,1.9,1.4,1.6,1.9
112,2018-02-17 10:45:00,0.6,0.7,0.7,0.7,1.0,1.0,1.1,1.0,1.3,1.6,1.5,2.0
113,2018-02-17 11:00:00,0.6,0.6,0.6,0.7,0.9,0.9,1.0,1.1,1.0,1.2,1.4,2.1
114,2018-02-17 11:15:00,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1.0,1.4,1.0,1.3,1.5
115,2018-02-17 11:30:00,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.9,0.7,0.7,0.8,1.3
116,2018-02-17 11:45:00,0.2,0.1,0.2,0.4,0.3,0.2,0.3,0.7,0.3,0.2,0.4,1.0
117,2018-02-17 12:00:00,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.8
118,2018-02-17 12:15:00,0.4,0.4,0.4,0.3,0.6,0.5,0.5,0.4,1.4,0.8,1.1,0.7
119,2018-02-17 12:30:00,0.4,0.4,0.7,0.4,0.5,0.5,1.5,0.7,0.6,0.8,15.9,4.5
120,2018-02-17 12:45:00,0.5,0.3,0.3,0.4,0.6,0.4,0.4,0.7,0.7,0.7,0.5,4.5
121,2018-02-17 13:00:00,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.7,0.5,0.7,0.8,4.6
122,2018-02-17 13:15:00,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.7,0.6,0.5,1.1,4.6
123,2018-02-17 13:30:00,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.7
124,2018-02-17 13:45:00,0.5,0.5,0.5,0.4,0.7,0.7,1.0,0.6,2.1,1.7,15.6,4.5
125,2018-02-17 14:00:00,0.8,0.7,0.6,0.4,1.1,0.9,0.8,0.7,1.3,1.3,1.5,4.7
126,2018-02-17 14:15:00,0.8,0.8,0.7,0.5,1.0,1.0,0.9,0.8,1.0,1.6,1.7,4.8
127,2018-02-17 14:30:00,0.9,0.9,1.0,0.7,1.2,1.2,1.3,1.0,1.3,2.4,2.3,5.3
128,2018-02-17 14:45:00,0.3,0.3,0.5,0.7,0.5,0.5,0.7,0.9,0.5,1.1,1.3,1.7
129,2018-02-17 15:00:00,0.4,0.3,0.2,0.6,0.6,0.5,0.4,0.8,2.6,1.2,0.7,1.5
130,2018-02-17 15:15:00,0.4,0.3,0.3,0.5,0.6,0.5,0.4,0.7,0.7,0.8,1.2,1.4
131,2018-02-17 15:30:00,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.5,3.3,1.6,1.3,1.1
132,2018-02-17 15:45:00,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.8,1.4,1.0,1.1
133,2018-02-17 16:00:00,0.5,0.4,0.4,0.3,0.7,0.7,0.7,0.6,1.4,1.9,1.7,1.3
134,2018-02-17 16:15:00,0.3,0.3,0.3,0.3,0.5,0.4,0.6,0.6,3.6,1.9,1.8,1.5
135,2018-02-17 16:30:00,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.6,2.2,1.0,1.4,1.5
136,2018-02-17 16:45:00,0.4,0.3,0.3,0.3,0.7,0.6,0.5,0.6,0.9,1.2,1.2,1.5
137,2018-02-17 17:00:00,0.4,0.4,0.4,0.3,0.5,0.6,0.6,0.5,1.8,1.5,2.0,1.6
138,2018-02-17 17:15:00,0.4,0.4,0.4,0.3,0.7,0.7,0.6,0.6,1.7,1.6,1.6,1.6
139,2018-02-17 17:30:00,0.3,0.3,0.4,0.4,0.6,0.6,0.7,0.6,1.1,1.7,1.6,1.6
140,2018-02-17 17:45:00,0.4,0.4,0.4,0.4,0.8,0.9,0.7,0.7,1.6,7.6,4.5,2.4
141,2018-02-17 18:00:00,0.5,0.5,0.5,0.4,0.8,1.0,1.0,0.8,1.0,7.3,8.3,4.0
142,2018-02-15 00:00:00,0.8,0.7,0.7,0.6,1.2,1.1,1.1,1.0,1.7,1.5,1.9,2.2
143,2018-02-15 00:15:00,0.6,0.7,0.7,0.7,0.9,1.1,1.1,1.1,1.1,1.5,1.9,1.8
144,2018-02-15 00:30:00,0.7,0.7,0.7,0.7,1.1,1.1,1.1,1.1,2.0,2.1,1.6,1.8
145,2018-02-15 00:45:00,0.6,0.6,0.6,0.7,0.9,1.0,1.0,1.1,1.0,1.2,1.3,1.7
146,2018-02-15 01:00:00,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.8,1.4,1.3,1.5
147,2018-02-15 01:15:00,0.7,0.6,0.6,0.6,1.0,0.9,1.0,1.0,1.0,1.1,1.2,1.4
