Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-17 00:00:00",1.400,1.500,1.500,1.500,2.200,2.300,2.200,2.200,6.100,5.300,4.800,5.000,
"2018-02-17 00:15:00",1.400,1.500,1.500,1.500,2.300,2.300,2.300,2.200,5.900,4.700,4.300,4.700,
"2018-02-17 00:30:00",1.400,1.500,1.500,1.500,2.100,2.300,2.300,2.200,4.000,4.600,4.000,4.400,
"2018-02-17 00:45:00",1.300,1.300,1.300,1.400,2.000,2.000,2.100,2.200,3.400,3.700,4.300,4.400,
"2018-02-17 01:00:00",1.300,1.300,1.300,1.400,2.100,2.000,2.000,2.200,3.000,3.600,3.600,4.100,
"2018-02-17 01:15:00",1.300,1.300,1.300,1.300,2.100,2.000,2.000,2.100,3.200,3.000,3.300,3.800,
"2018-02-17 01:30:00",1.300,1.300,1.200,1.300,2.000,2.000,1.900,2.000,4.000,3.400,3.300,3.600,
"2018-02-17 01:45:00",1.200,1.100,1.200,1.200,1.900,1.800,1.800,1.900,3.500,3.200,3.300,3.400,
"2018-02-17 02:00:00",0.900,0.900,1.000,1.200,1.400,1.400,1.500,1.800,2.400,2.300,2.400,3.100,
"2018-02-17 02:15:00",1.000,0.900,0.900,1.100,1.500,1.500,1.500,1.700,2.400,2.400,2.400,2.800,
"2018-02-17 02:30:00",0.800,0.800,0.900,1.000,1.300,1.400,1.400,1.600,2.200,2.700,2.300,2.600,
"2018-02-17 02:45:00",0.800,0.800,0.800,0.900,1.300,1.300,1.300,1.400,1.700,2.000,2.100,2.300,
"2018-02-17 03:00:00",0.700,0.700,0.700,0.800,1.100,1.100,1.200,1.300,1.300,2.300,2.600,2.400,
"2018-02-17 03:15:00",0.700,0.600,0.700,0.800,1.000,1.000,1.100,1.200,2.700,1.800,1.900,2.200,
"2018-02-17 03:30:00",0.600,0.600,0.600,0.700,0.900,0.900,1.000,1.100,2.500,1.600,1.700,2.100,
"2018-02-17 03:45:00",0.600,0.600,0.600,0.700,1.000,1.000,1.000,1.100,1.800,1.800,1.600,1.900,
"2018-02-17 04:00:00",0.500,0.500,0.600,0.600,0.800,0.900,0.900,1.000,0.900,2.000,2.000,1.800,
"2018-02-17 04:15:00",0.500,0.500,0.500,0.600,0.800,0.800,0.800,0.900,2.800,1.800,1.600,1.700,
"2018-02-17 04:30:00",0.600,0.500,0.500,0.600,0.900,0.800,0.800,0.900,2.900,1.700,1.600,1.700,
"2018-02-17 04:45:00",0.500,0.500,0.500,0.500,0.800,0.800,0.800,0.800,1.100,1.400,1.600,1.700,
"2018-02-17 05:00:00",0.500,0.500,0.500,0.500,0.700,0.800,0.800,0.800,0.700,1.200,1.600,1.600,
"2018-02-17 05:15:00",0.500,0.400,0.500,0.500,0.800,0.700,0.700,0.800,2.700,2.000,1.800,1.600,
"2018-02-17 05:30:00",0.500,0.500,0.400,0.500,0.800,0.800,0.700,0.800,1.100,1.500,1.600,1.600,
"2018-02-17 05:45:00",0.400,0.400,0.500,0.500,0.600,0.700,0.800,0.800,0.900,1.400,1.700,1.600,
"2018-02-17 06:00:00",0.500,0.400,0.400,0.400,0.800,0.700,0.700,0.700,1.500,1.900,1.600,1.700,
"2018-02-17 06:15:00",0.500,0.400,0.500,0.400,0.800,0.700,0.700,0.700,1.400,1.300,1.500,1.600,
"2018-02-17 06:30:00",0.400,0.400,0.400,0.400,0.600,0.600,0.700,0.700,0.800,0.800,1.000,1.500,
"2018-02-17 06:45:00",0.500,0.400,0.400,0.400,0.700,0.700,0.600,0.700,0.800,1.200,1.100,1.300,
"2018-02-17 07:00:00",0.500,0.500,0.500,0.400,0.700,0.700,0.700,0.700,3.700,1.400,1.400,1.300,
"2018-02-17 07:15:00",0.500,0.400,0.400,0.400,0.600,0.600,0.600,0.600,0.700,1.500,1.100,1.200,
"2018-02-17 07:30:00",0.400,0.400,0.400,0.400,0.700,0.600,0.600,0.600,0.800,1.500,1.400,1.300,
"2018-02-17 07:45:00",0.800,0.600,0.500,0.400,1.200,0.900,0.800,0.700,2.300,1.900,1.700,1.400,
"2018-02-17 08:00:00",0.700,0.800,1.000,0.600,1.000,1.200,1.400,0.900,2.800,2.300,2.400,1.700,
"2018-02-17 08:15:00",2.200,3.400,3.300,1.300,3.500,5.300,4.900,1.900,5.000,6.200,5.800,2.800,
"2018-02-17 08:30:00",1.300,4.400,3.800,2.100,2.200,7.100,6.100,3.300,20.400,49.000,27.800,9.400,
"2018-02-17 08:45:00",0.700,0.600,0.700,2.200,1.000,1.000,1.000,3.400,1.300,1.600,2.100,9.500,
"2018-02-17 09:00:00",1.600,1.200,0.800,2.100,2.600,1.900,1.200,3.300,19.100,10.000,4.400,10.000,
"2018-02-17 09:15:00",0.500,0.700,0.800,1.500,0.800,1.100,1.300,2.400,1.100,4.300,6.200,10.000,
"2018-02-17 09:30:00",0.400,0.400,0.400,0.600,0.600,0.600,0.500,1.000,1.300,1.000,0.900,3.300,
"2018-02-17 09:45:00",0.500,0.500,0.400,0.600,0.800,0.700,0.700,0.900,1.500,1.100,1.000,3.000,
"2018-02-17 10:00:00",0.500,0.500,0.400,0.500,0.900,0.800,0.700,0.800,1.000,1.300,1.100,2.300,
"2018-02-17 10:15:00",1.000,0.700,0.900,0.500,2.000,1.200,1.400,0.800,26.700,7.400,3.800,1.700,
"2018-02-17 10:30:00",0.600,0.600,0.600,0.600,1.000,1.000,0.900,0.900,1.900,1.400,1.600,1.900,
"2018-02-17 10:45:00",0.600,0.700,0.700,0.700,1.000,1.000,1.100,1.000,1.300,1.600,1.500,2.000,
"2018-02-17 11:00:00",0.600,0.600,0.600,0.700,0.900,0.900,1.000,1.100,1.000,1.200,1.400,2.100,
"2018-02-17 11:15:00",0.500,0.500,0.600,0.600,0.700,0.700,0.900,1.000,1.400,1.000,1.300,1.500,
"2018-02-17 11:30:00",0.400,0.400,0.400,0.600,0.500,0.600,0.600,0.900,0.700,0.700,0.800,1.300,
"2018-02-17 11:45:00",0.200,0.100,0.200,0.400,0.300,0.200,0.300,0.700,0.300,0.200,0.400,1.000,
