,Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
0,2018-02-10 00:00:00,0.5,0.5,0.6,0.7,1.2,1.2,1.3,2.0,3281.3,662.2,227.2,77.6
1,2018-02-10 00:15:00,0.6,0.6,0.6,0.6,1.4,1.3,1.3,1.8,3280.7,659.9,223.0,71.1
2,2018-02-10 00:30:00,0.6,0.7,0.6,0.6,1.2,1.4,1.5,1.7,3284.1,660.2,227.7,71.8
3,2018-02-10 00:45:00,0.6,0.6,0.6,0.6,1.4,1.3,1.3,1.3,3281.4,659.9,223.1,61.4
4,2018-02-10 01:00:00,0.6,0.6,0.6,0.6,1.4,1.3,1.4,1.3,3282.4,661.2,224.6,60.7
5,2018-02-10 01:15:00,0.6,0.6,0.6,0.6,1.5,1.4,1.4,1.4,3282.7,661.5,224.4,61.1
6,2018-02-10 01:30:00,0.7,0.7,0.6,0.6,1.5,1.5,1.4,1.4,3283.9,662.0,224.1,60.2
7,2018-02-10 01:45:00,1.1,1.1,0.9,0.7,2.2,2.2,2.3,1.6,3283.4,664.2,238.6,64.1
8,2018-02-10 02:00:00,29.5,37.9,13.2,3.8,67.7,95.0,32.9,9.5,3507.3,1023.5,346.8,94.6
9,2018-02-10 02:15:00,1.2,1.5,1.4,4.0,3.1,3.8,3.7,10.1,3294.1,682.1,240.0,98.5
10,2018-02-10 02:30:00,0.8,0.9,0.9,4.1,1.9,2.1,2.2,10.3,3287.5,666.4,231.8,100.4
11,2018-02-10 02:45:00,0.9,0.9,0.9,4.1,2.0,2.0,2.0,10.2,3285.3,663.1,227.2,97.6
12,2018-02-10 03:00:00,1.0,1.0,1.3,1.1,2.3,2.2,2.8,2.7,3285.7,662.9,235.8,69.9
13,2018-02-10 03:15:00,1.1,1.0,0.9,1.0,2.5,2.4,2.2,2.3,3288.7,666.7,228.2,66.9
14,2018-02-10 03:30:00,1.1,0.9,1.0,1.0,3.7,2.8,2.4,2.4,3367.2,689.0,235.7,67.9
15,2018-02-10 03:45:00,0.9,0.8,0.9,1.0,2.1,2.1,2.1,2.4,3285.4,662.6,225.5,67.4
16,2018-02-10 04:00:00,0.9,0.8,0.8,0.9,2.0,1.9,1.9,2.2,3282.2,661.4,225.6,64.9
17,2018-02-10 04:15:00,0.9,0.8,0.8,0.8,2.0,1.9,2.0,2.1,3286.3,663.8,226.9,64.6
