Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-10 00:00:00",0.500,0.500,0.600,0.700,1.200,1.200,1.300,2.000,3281.300,662.200,227.200,77.600,
"2018-02-10 00:15:00",0.600,0.600,0.600,0.600,1.400,1.300,1.300,1.800,3280.700,659.900,223.000,71.100,
"2018-02-10 00:30:00",0.600,0.700,0.600,0.600,1.200,1.400,1.500,1.700,3284.100,660.200,227.700,71.800,
"2018-02-10 00:45:00",0.600,0.600,0.600,0.600,1.400,1.300,1.300,1.300,3281.400,659.900,223.100,61.400,
"2018-02-10 01:00:00",0.600,0.600,0.600,0.600,1.400,1.300,1.400,1.300,3282.400,661.200,224.600,60.700,
"2018-02-10 01:15:00",0.600,0.600,0.600,0.600,1.500,1.400,1.400,1.400,3282.700,661.500,224.400,61.100,
"2018-02-10 01:30:00",0.700,0.700,0.600,0.600,1.500,1.500,1.400,1.400,3283.900,662.000,224.100,60.200,
"2018-02-10 01:45:00",1.100,1.100,0.900,0.700,2.200,2.200,2.300,1.600,3283.400,664.200,238.600,64.100,
"2018-02-10 02:00:00",29.500,37.900,13.200,3.800,67.700,95.000,32.900,9.500,3507.300,1023.500,346.800,94.600,
"2018-02-10 02:15:00",1.200,1.500,1.400,4.000,3.100,3.800,3.700,10.100,3294.100,682.100,240.000,98.500,
"2018-02-10 02:30:00",0.800,0.900,0.900,4.100,1.900,2.100,2.200,10.300,3287.500,666.400,231.800,100.400,
"2018-02-10 02:45:00",0.900,0.900,0.900,4.100,2.000,2.000,2.000,10.200,3285.300,663.100,227.200,97.600,
"2018-02-10 03:00:00",1.000,1.000,1.300,1.100,2.300,2.200,2.800,2.700,3285.700,662.900,235.800,69.900,
"2018-02-10 03:15:00",1.100,1.000,0.900,1.000,2.500,2.400,2.200,2.300,3288.700,666.700,228.200,66.900,
"2018-02-10 03:30:00",1.100,0.900,1.000,1.000,3.700,2.800,2.400,2.400,3367.200,689.000,235.700,67.900,
"2018-02-10 03:45:00",0.900,0.800,0.900,1.000,2.100,2.100,2.100,2.400,3285.400,662.600,225.500,67.400,
"2018-02-10 04:00:00",0.900,0.800,0.800,0.900,2.000,1.900,1.900,2.200,3282.200,661.400,225.600,64.900,
"2018-02-10 04:15:00",0.900,0.800,0.800,0.800,2.000,1.900,2.000,2.100,3286.300,663.800,226.900,64.600,
"2018-02-10 04:30:00",4.700,3.000,1.500,1.000,19.100,11.500,5.100,2.800,3489.900,775.400,263.900,71.600,
"2018-02-10 04:45:00",0.800,0.700,0.800,1.000,1.600,1.600,1.900,2.700,3285.800,661.800,227.500,71.700,
"2018-02-10 05:00:00",0.700,0.700,0.800,1.000,1.500,1.500,1.800,2.600,3280.600,660.700,227.800,72.200,
"2018-02-10 05:15:00",2.900,1.300,0.900,1.000,13.300,4.200,2.500,2.800,3543.900,714.800,242.400,76.100,
"2018-02-10 05:30:00",1.400,1.400,1.200,0.900,2.800,2.800,2.500,2.100,3290.000,667.600,229.200,67.900,
"2018-02-10 05:45:00",1.300,1.400,1.400,1.100,2.400,3.400,3.300,2.500,3287.400,681.900,241.700,71.500,
"2018-02-10 06:00:00",1.000,1.200,1.300,1.200,2.000,3.300,3.800,3.000,3283.100,685.600,263.300,80.300,
"2018-02-10 06:15:00",1.100,1.000,1.000,1.300,2.300,2.100,2.500,3.000,3285.600,662.500,233.900,78.200,
"2018-02-10 06:30:00",1.000,1.700,2.300,1.500,2.300,5.800,7.700,4.300,3285.100,719.800,296.600,95.000,
"2018-02-10 06:45:00",2.700,2.300,2.100,1.700,11.700,10.700,8.700,5.700,3513.400,873.500,380.800,129.800,
"2018-02-10 07:00:00",2.200,2.700,8.000,3.400,7.000,9.100,27.400,11.600,3323.200,727.800,402.500,164.600,
"2018-02-10 07:15:00",20.700,10.600,7.600,5.000,73.200,38.500,26.500,17.600,3934.200,1011.400,437.800,215.600,
"2018-02-10 07:30:00",4.400,5.300,6.100,6.000,18.400,19.900,23.300,21.500,3500.800,866.000,444.400,252.500,
"2018-02-10 07:45:00",5.800,12.000,7.400,7.300,19.800,43.400,27.000,26.100,3402.400,1024.700,472.200,275.400,
"2018-02-10 08:00:00",1.900,2.000,6.700,6.900,4.300,4.300,24.800,25.400,3295.400,674.000,420.100,279.800,
"2018-02-10 08:15:00",2.300,2.100,2.100,5.600,6.100,4.800,4.500,19.900,3334.600,687.700,241.700,230.700,
"2018-02-10 08:30:00",3.200,9.400,4.700,5.200,8.500,19.900,10.100,16.600,3308.200,729.500,261.200,185.000,
"2018-02-10 08:45:00",2.300,2.400,2.600,4.000,6.000,6.700,6.800,11.500,3313.000,696.700,254.900,130.600,
"2018-02-10 09:00:00",1.000,1.000,1.600,2.800,2.400,2.600,4.100,6.400,3290.300,682.500,250.100,88.100,
"2018-02-10 09:15:00",1.200,1.200,1.100,2.500,4.600,3.700,2.900,6.000,3343.000,700.100,243.700,88.700,
"2018-02-10 09:30:00",1.000,1.000,1.000,1.600,2.600,3.400,3.300,4.300,3307.500,726.900,276.700,92.500,
"2018-02-10 09:45:00",0.800,0.900,1.000,1.200,2.000,2.200,2.600,3.200,3294.400,672.300,251.200,91.600,
