,Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
0,2018-02-10 00:00:00,1.6,1.5,1.4,3.4,11.8,3.1,3.0,3.7,1.6,1321.8,447.9,123.3
1,2018-02-10 00:15:00,3.0,2.8,2.5,5.8,19.2,5.5,4.9,3.9,1.8,1332.0,455.3,123.6
2,2018-02-10 00:30:00,2.7,2.6,2.7,5.8,18.2,5.6,5.7,4.2,2.0,1329.2,456.7,124.2
3,2018-02-10 00:45:00,2.7,2.6,2.6,5.6,14.1,5.4,5.4,4.8,2.3,1328.1,455.0,126.0
4,2018-02-10 01:00:00,2.2,2.3,2.5,4.7,16.3,4.9,5.3,5.4,2.6,1327.4,454.5,127.7
5,2018-02-10 01:15:00,2.0,2.0,2.1,4.1,12.4,4.3,4.4,5.2,2.5,1323.6,450.2,126.4
6,2018-02-10 01:30:00,2.1,2.0,2.0,4.4,13.7,4.3,4.2,4.8,2.3,1324.0,450.0,124.8
7,2018-02-10 01:45:00,1.5,1.6,1.7,3.3,14.1,3.4,3.6,4.4,2.1,1324.3,448.6,123.1
8,2018-02-10 02:00:00,1.5,1.4,1.4,3.1,10.7,3.0,3.0,3.8,1.8,1320.0,447.0,121.2
9,2018-02-10 02:15:00,1.8,1.7,1.6,3.9,14.0,3.7,3.5,3.6,1.7,1322.6,448.6,120.9
10,2018-02-10 02:30:00,13.5,10.5,6.9,32.0,103.3,25.4,16.4,6.6,2.9,1399.0,496.0,132.3
11,2018-02-10 02:45:00,1.4,1.9,4.4,2.7,6.6,4.2,10.2,8.3,3.6,1323.1,469.7,137.6
12,2018-02-10 03:00:00,1.9,1.7,1.5,3.3,5.4,3.0,2.7,8.2,3.6,1317.9,444.5,137.0
13,2018-02-10 03:15:00,3.3,2.7,2.2,5.0,9.6,4.1,3.6,8.2,3.7,1318.2,444.4,136.0
14,2018-02-10 03:30:00,1.2,2.1,2.9,2.3,7.8,3.6,4.7,5.3,2.7,1320.0,446.9,123.7
15,2018-02-10 03:45:00,1.4,1.4,1.1,2.6,5.7,2.5,2.3,3.3,1.9,1318.6,444.0,117.3
16,2018-02-10 04:00:00,1.6,1.6,1.6,2.7,7.0,2.8,2.8,3.3,2.0,1317.3,444.0,117.1
17,2018-02-10 04:15:00,1.0,1.1,1.3,2.1,5.3,2.2,2.4,3.0,1.7,1317.3,442.8,116.7
18,2018-02-10 04:30:00,1.1,1.1,1.1,2.0,7.2,2.1,2.2,2.4,1.3,1317.1,443.0,115.8
19,2018-02-10 04:45:00,1.5,1.3,1.2,3.0,9.0,2.7,2.4,2.4,1.3,1317.1,443.6,115.7
20,2018-02-10 05:00:00,1.4,1.4,1.4,2.7,8.6,2.8,2.9,2.4,1.2,1319.2,445.3,116.0
21,2018-02-10 05:15:00,1.2,1.2,1.3,2.4,7.1,2.5,2.6,2.5,1.3,1317.2,443.9,116.3
22,2018-02-10 05:30:00,1.9,2.0,2.2,3.2,7.2,3.2,3.6,2.9,1.5,1319.0,444.9,116.8
23,2018-02-10 05:45:00,1.4,1.4,1.5,2.6,6.9,2.6,2.7,2.9,1.6,1319.1,444.1,116.9
24,2018-02-10 06:00:00,1.7,1.6,1.5,3.3,10.9,3.2,2.9,3.0,1.6,1320.1,445.3,116.9
25,2018-02-10 06:15:00,2.1,2.1,1.9,3.7,10.8,3.7,3.5,3.2,1.8,1321.2,447.1,117.7
