Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-07 00:00:00",3.100,3.100,3.500,6.200,6.200,6.800,10.300,5.500,14.400,14.600,15.200,20.800,
"2018-02-07 00:15:00",2.000,2.000,2.400,4.000,4.100,4.900,7.500,3.800,9.600,9.800,11.600,16.100,
"2018-02-07 00:30:00",2.000,2.100,1.900,3.900,4.100,3.900,5.900,3.000,13.100,13.800,11.000,13.900,
"2018-02-07 00:45:00",1.700,1.500,1.700,3.500,3.200,3.600,4.800,2.400,12.500,9.500,10.400,12.100,
"2018-02-07 01:00:00",2.100,2.000,1.800,4.700,4.200,3.900,4.100,2.000,13.200,10.700,10.600,10.900,
"2018-02-07 01:15:00",1.600,1.900,2.000,3.300,3.800,4.100,3.900,1.900,5.700,7.900,9.300,10.300,
"2018-02-07 01:30:00",2.500,2.000,1.800,4.500,3.900,3.600,3.800,1.800,11.200,9.900,9.100,9.800,
"2018-02-07 01:45:00",1.500,1.400,1.600,2.900,2.700,3.100,3.700,1.800,6.500,6.000,8.200,9.300,
"2018-02-07 02:00:00",1.400,1.500,1.500,2.700,2.900,2.900,3.400,1.700,5.200,6.100,6.000,8.200,
"2018-02-07 02:15:00",1.300,1.300,1.300,2.500,2.600,2.600,3.000,1.500,5.200,5.900,6.000,7.300,
"2018-02-07 02:30:00",2.300,2.200,1.700,4.800,4.500,3.400,3.000,1.500,15.400,12.400,9.800,7.500,
"2018-02-07 02:45:00",3.600,3.400,2.900,7.500,7.400,6.500,3.800,1.800,20.400,19.900,17.900,10.000,
"2018-02-07 03:00:00",2.700,2.700,3.100,5.400,5.500,6.500,4.700,2.200,14.600,14.300,16.600,12.600,
"2018-02-07 03:15:00",1.500,1.600,2.000,3.200,3.300,4.000,5.100,2.400,10.800,11.100,12.300,14.200,
"2018-02-07 03:30:00",1.500,1.500,1.500,3.100,3.100,3.100,5.000,2.400,7.500,9.200,9.600,14.100,
"2018-02-07 03:45:00",1.700,1.500,1.600,3.200,2.900,3.100,4.200,2.000,9.100,9.000,9.400,12.000,
"2018-02-07 04:00:00",2.600,2.400,1.900,5.800,5.000,3.800,3.500,1.700,20.600,15.400,11.600,10.700,
"2018-02-07 04:15:00",2.700,2.500,2.600,5.700,5.300,5.300,3.800,1.900,17.900,16.200,19.700,12.600,
"2018-02-07 04:30:00",2.700,2.700,2.600,6.000,5.900,5.500,4.400,2.100,15.800,18.200,17.500,14.600,
"2018-02-07 04:45:00",1.100,1.100,1.700,2.300,2.400,3.600,4.600,2.200,6.600,8.700,11.900,15.200,
"2018-02-07 05:00:00",1.600,1.600,1.300,3.900,3.600,2.800,4.300,2.000,17.900,19.100,13.000,15.500,
"2018-02-07 05:15:00",1.000,1.200,1.400,2.200,2.600,3.200,3.800,1.700,7.500,10.700,15.000,14.400,
"2018-02-07 05:30:00",1.100,1.100,1.100,2.300,2.300,2.400,3.000,1.400,7.300,7.900,9.000,12.200,
"2018-02-07 05:45:00",1.000,0.900,1.000,1.900,2.000,2.000,2.600,1.200,7.100,7.400,7.100,11.000,
"2018-02-07 06:00:00",0.800,0.900,0.900,1.800,1.900,1.900,2.400,1.100,4.500,5.700,6.100,9.300,
"2018-02-07 06:15:00",0.900,0.900,0.800,1.900,1.800,1.800,2.000,1.000,6.200,7.200,7.300,7.300,
"2018-02-07 06:30:00",0.800,0.800,0.800,1.600,1.600,1.700,1.800,0.900,5.600,5.500,6.200,6.700,
"2018-02-07 06:45:00",0.700,0.800,0.800,1.400,1.600,1.600,1.700,0.800,7.200,7.100,6.300,6.500,
"2018-02-07 07:00:00",1.100,1.000,0.800,2.300,2.000,1.700,1.700,0.800,7.700,6.500,6.300,6.500,
"2018-02-07 07:15:00",1.000,1.100,1.100,2.100,2.300,2.300,1.800,0.900,6.300,8.700,9.400,7.100,
"2018-02-07 07:30:00",1.300,1.200,1.000,4.100,3.900,2.600,2.100,0.900,33.200,36.700,18.600,10.200,
"2018-02-07 07:45:00",2.500,2.800,3.500,8.800,12.600,15.100,5.400,1.600,90.300,184.500,155.000,47.300,
"2018-02-07 08:00:00",1.200,1.300,1.900,2.600,2.700,5.900,6.500,1.900,12.300,9.800,44.000,56.800,
"2018-02-07 08:15:00",2.300,1.800,1.500,6.300,4.800,3.400,6.700,2.000,32.800,25.200,15.500,58.300,
"2018-02-07 08:30:00",2.400,2.600,3.200,4.100,4.600,6.600,7.800,2.500,18.800,17.200,26.500,60.300,
"2018-02-07 08:45:00",7.100,8.000,5.800,12.000,13.000,10.200,6.500,3.100,30.600,33.600,34.600,30.200,
"2018-02-07 09:00:00",3.000,2.900,4.700,5.200,5.400,8.500,7.200,3.800,24.000,19.700,28.300,26.200,
"2018-02-07 09:15:00",3.700,3.200,3.000,10.100,8.300,6.200,7.900,4.200,61.600,50.700,29.500,29.700,
"2018-02-07 09:30:00",3.000,2.800,2.900,7.600,6.900,7.200,8.000,4.100,38.700,30.400,35.600,32.000,
"2018-02-07 09:45:00",3.300,3.300,3.500,7.200,7.600,8.700,7.600,3.500,23.100,27.100,42.300,33.900,
